Year       ,Month      ,Day        ,DOY        ,Hour       ,Minutes    ,Dectime [H],Dectyear[D],Patm  [hPa],Precip [mm],Tair   [°C],RH      [%],Tdauw  [°C],Wind  [m/s],S_raw[W/m2],Sol  [W/m2],Dir  [W/m2],Dif  [W/m2],Twb    [°C],Tglobe [°C],Tmrt   [°C],WBGT   [°C],PET    [°C]
20,3,1,61,3,0,3.0,60.125,987.88,0.3615384615384617,5.577999999999998,82.08,2.7859999999999987,0.8947368421052632,0.625,0.625,5.052837012728406e-05,0.6249494716298727,3.8629307426282047,3.675865618255955,3.3645023595407793,3.997024643490934,1.665999999999997
20,3,1,61,4,0,4.0,60.166666666666664,988.0016666666667,0.681081081081081,5.052272727272728,86.1659090909091,2.9454545454545453,0.7618181818181822,0.0,0.0,0.0,0.0,3.7083249533118856,3.062840009056856,2.7651894369823253,3.713622741856964,1.3392727272727274
20,3,1,61,5,0,5.0,60.208333333333336,988.1333333333328,0.0,4.830232558139539,85.4674418604651,2.6209302325581407,0.894736842105263,0.0,0.0,0.0,0.0,3.4311741774559805,2.935544994187751,2.6228954738650714,3.47195417887069,0.8892325581395379
20,3,1,61,6,0,6.0,60.25,988.1576271186439,0.0,4.819047619047621,86.69047619047619,2.7999999999999994,0.841818181818182,0.0,0.0,0.0,0.0,3.5262825725000795,2.892706288211116,2.586118270263455,3.5288438202970407,0.9640476190476198
20,3,1,61,7,0,7.0,60.291666666666664,988.21568627451,0.0,5.07380952380952,86.82142857142857,3.0547619047619037,0.7714285714285717,4.241379310344827,4.241379310344827,0.002326963022398646,4.239052347322429,3.7866845815511114,3.2499351452316887,2.975587401678524,3.8080471885130676,1.4038095238095194
20,3,1,61,8,0,8.0,60.333333333333336,988.6627118644071,0.3047619047619047,4.909756097560979,87.8048780487805,3.0634146341463406,0.7464285714285716,19.54,19.54,0.049388333679814815,19.490611666320184,3.712319696069386,3.632919134705503,3.4454853363874918,3.8161832239457687,1.4747560975609788
20,3,1,61,9,0,9.0,60.375,989.2650000000008,0.3363636363636365,5.211627906976742,87.73255813953489,3.3418604651162767,0.9722222222222222,94.65,94.65,1.1588213593864214,93.49117864061358,4.00170769287667,6.584159856399879,6.812356935602281,4.639190146991319,2.259627906976742
20,3,1,61,10,0,10.0,60.416666666666664,989.2849999999997,0.0,6.2075471698113205,85.56981132075471,3.9641509433962248,0.9250000000000002,273.9074074074074,273.9074074074074,41.307734279305414,232.59967312810198,4.7820280768311605,13.678437713088272,14.791602841838426,6.703861913380599,5.5585471698113205
20,3,1,61,11,0,11.0,60.458333333333336,989.9033333333329,1.763829787234043,5.725000000000001,87.175,3.7590909090909097,0.6771929824561401,191.35714285714286,191.35714285714286,7.012976491039857,184.344166366103,4.454745496000804,10.893589686256405,11.552807816874974,5.8695397844518435,4.871000000000004
20,3,1,61,12,0,12.0,60.5,989.5600000000002,0.0,8.061999999999998,79.84,4.766,0.8396551724137932,468.1034482758621,468.1034482758621,332.3304821051459,135.7729661707162,6.053208716574382,22.004384306340228,23.797427102649124,9.444322962870114,10.255999999999993
20,3,1,61,13,0,13.0,60.541666666666664,989.3866666666662,0.3869565217391305,8.411904761904761,75.08571428571429,4.204761904761905,0.8035087719298247,217.0952380952381,217.0952380952381,13.07767352921568,204.01756456602243,5.948293571501017,14.118704933193897,14.897909825298143,7.828736962879968,7.555904761904763
